timestamp,current,field,ADCDAC temp,box temp,rack temp,water temp,water flow
2023-07-24 18:24:26,25.598358,971.21,40.994,38.02,39.15,3.63,6.4
2023-07-24 18:24:51,25.598351,970.28,40.993,37.95,39.19,3.66,6.2
2023-07-24 18:25:22,25.598363,966.29,40.999,38.09,39.22,3.58,6.2
2023-07-24 18:26:07,25.598356,966.49,40.945,38.45,39.61,3.43,6.3
2023-07-24 18:27:26,25.59837,966.42,40.908,38.3,39.53,3.45,6.5
2023-07-24 18:27:43,25.598344,967.59,40.891,38.14,39.49,3.52,6.4
2023-07-24 18:27:56,25.598348,964.76,40.884,38.03,39.42,3.58,6.3
2023-07-24 18:28:04,25.598355,968.72,40.896,37.95,39.3,3.6,6.3
2023-07-24 18:28:49,25.59835,965.26,40.79,37.82,39.26,3.67,6.5
2023-07-24 18:30:04,25.598358,968.18,40.787,38.41,39.75,3.41,6.3
2023-07-24 18:30:13,25.598375,964.14,40.785,38.49,39.93,3.38,6.3
2023-07-24 18:30:47,25.598366,966.69,40.788,38.53,39.97,3.35,6.6
2023-07-24 18:30:49,25.598383,972.14,40.782,38.53,39.95,3.37,6.5
2023-07-24 18:30:52,25.598356,966.45,40.763,38.55,39.98,3.35,6.4
2023-07-24 18:30:54,25.598378,970.4,40.757,38.54,39.95,3.35,6.4
2023-07-24 18:30:56,25.598373,972.34,40.774,38.53,39.84,3.36,6.5
2023-07-24 18:30:59,25.598352,970.04,40.787,38.51,39.76,3.37,6.3
2023-07-24 18:31:02,25.598379,967.25,40.793,38.5,39.89,3.38,6.2
2023-07-24 18:31:05,25.598374,966.91,40.805,38.47,39.84,3.38,6.4
2023-07-24 18:31:08,25.598373,965.89,40.798,38.45,39.83,3.4,6.3
2023-07-24 18:31:11,25.59836,970.9,40.775,38.45,39.75,3.4,6.2
2023-07-24 18:31:14,25.598371,972.65,40.771,38.43,39.83,3.42,6.4
2023-07-24 18:31:17,25.598381,972.07,40.746,38.39,39.86,3.43,6.6
2023-07-24 18:31:20,25.598374,970.77,40.756,38.37,39.91,3.44,6.2
2023-07-24 18:31:23,25.598386,969.69,40.749,38.34,39.75,3.45,6.0
2023-07-24 18:31:26,25.598369,967.6,40.751,38.33,39.65,3.43,6.0
2023-07-24 18:31:29,25.598356,966.42,40.76,38.26,39.61,3.48,6.3
2023-07-24 18:31:33,25.598377,968.5,40.742,38.21,39.6,3.49,6.5
2023-07-24 18:31:35,25.598341,970.88,40.733,38.19,39.6,3.5,6.5
2023-07-24 18:31:38,25.598355,973.44,40.733,38.18,39.56,3.52,6.3
2023-07-24 18:31:41,25.598372,970.27,40.731,38.14,39.56,3.53,6.2
2023-07-24 18:31:43,25.598365,970.07,40.741,38.11,39.53,3.54,6.5
2023-07-24 18:31:46,25.598378,971.56,40.754,38.13,39.43,3.56,6.8
2023-07-24 18:31:49,25.598371,974.75,40.753,38.1,39.47,3.57,6.8
2023-07-24 18:31:53,25.598378,971.69,40.743,38.03,39.45,3.58,6.7
2023-07-24 18:31:55,25.598363,970.99,40.746,38.02,39.46,3.59,6.6
2023-07-24 18:31:58,25.598384,972.27,40.754,38.01,39.35,3.6,6.5
2023-07-24 18:32:02,25.598358,969.09,40.745,37.97,39.49,3.61,6.6
2023-07-24 18:32:04,25.598373,970.08,40.754,37.95,39.5,3.62,6.7
2023-07-24 18:32:07,25.59839,970.26,40.756,37.93,39.37,3.63,6.9
2023-07-24 18:32:10,25.59838,973.89,40.753,37.94,39.35,3.63,6.5
2023-07-24 18:32:14,25.598388,975.86,40.755,37.94,39.43,3.64,6.0
2023-07-24 18:32:17,25.598353,971.02,40.749,37.93,39.32,3.64,6.4
2023-07-24 18:32:56,25.598394,972.47,40.727,37.91,39.42,3.65,6.4
2023-07-24 18:33:52,25.598393,975.26,40.703,38.35,39.87,3.44,6.6
2023-07-24 18:34:08,25.598371,974.13,40.717,38.49,40.06,3.37,6.7
2023-07-24 18:34:22,25.598363,972.1,40.728,38.59,40.04,3.34,6.4
2023-07-24 18:34:58,25.598382,979.15,40.765,38.55,40.11,3.37,6.6
2023-07-24 18:35:27,25.598381,976.76,40.74,38.33,39.75,3.47,6.4
2023-07-24 18:35:29,25.598371,979.26,40.742,38.33,39.69,3.48,6.3
